"","lon","lat"
"1",-82.9679121,38.8768458
"2",-118.2436849,34.0522342
"3",-86.6542943,34.7113169
"4",NA,NA
"5",72.7980048,21.1956915
"6",73.0931461,33.7293882
"7",-70.1867227,43.8006208
"8",-81.3961338,30.2841224
"9",-105.084423,40.5852602
"10",-75.0866155,38.327881
"11",-71.2478251,42.0653812
"12",-80.1917902,25.7616798
"13",-0.5599501,51.3147593
"14",-74.166188,40.007722
"15",-84.2700179,37.8393332
"16",-118.2436849,34.0522342
"17",92.9375739,26.2006043
"18",-95.712891,37.09024
"19",-79.0192997,35.7595731
"20",-70.880049,42.5584283
"21",-73.9788248,40.7521501
"22",78.486671,17.385044
"23",-95.712891,37.09024
"24",-93.097702,41.8780025
"25",-85.7584557,38.2526647
"26",-76.2710833,-12.2720956
"27",-86.1349019,40.2671941
"28",-86.1349019,40.2671941
"29",NA,NA
"30",-95.712891,37.09024
"31",NA,NA
"32",-95.712891,37.09024
"33",-149.9002778,61.2180556
"34",-66.9036063,10.4805937
"35",-122.6716063,45.6318397
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",-76.6412712,39.0457549
"41",NA,NA
"42",-112.1251372,33.8543346
"43",-81.0250784,34.9248667
"44",-74.0059413,40.7127837
"45",-83.0790865,42.8105356
"46",-95.3698028,29.7604267
"47",-111.6945906,40.2326322
"48",-87.6297982,41.8781136
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",-75.1652215,39.9525839
"53",-79.2468626,43.1593745
"54",116.0648074,5.9690277
"55",-95.3698028,29.7604267
"56",-112.0740373,33.4483771
"57",-86.1522663,39.930995
"58",-84.2700179,37.8393332
"59",NA,NA
"60",-0.1277583,51.5073509
"61",NA,NA
"62",-99.9018131,31.9685988
"63",-104.8771726,39.5807452
"64",-97.9135355,29.8247201
"65",-77.6109219,43.16103
"66",-38.3001341,-12.8704981
"67",NA,NA
"68",-122.6764816,45.5230622
"69",-80.8300853,35.2183206
"70",13.404954,52.5200066
"71",-71.4105538,41.8237896
"72",-75.953067,45.813212
"73",NA,NA
"74",-99.2650804,34.1545306
"75",-119.4179324,36.778261
