"","lonlat","Freq","lon","lat"
"1","-0.0076589 51.4825766",1,"-0.0076589","51.4825766"
"2","-0.0201064 51.4446414",1,"-0.0201064","51.4446414"
"3","-0.0722785 51.6049674",1,"-0.0722785","51.6049674"
"4","-0.0856611 51.5155575",1,"-0.0856611","51.5155575"
"5","-0.1078746 51.5264898",1,"-0.1078746","51.5264898"
"6","-0.1202969 51.5123483",1,"-0.1202969","51.5123483"
"7","-0.1277583 51.5073509",10,"-0.1277583","51.5073509"
"8","-0.1365486 51.5136143",1,"-0.1365486","51.5136143"
"9","-0.141525 51.537551",1,"-0.141525","51.537551"
"10","-0.1580081 51.5143481",1,"-0.1580081","51.5143481"
"11","-0.1585385 51.5237715",1,"-0.1585385","51.5237715"
"12","-0.1601246 52.9451889",1,"-0.1601246","52.9451889"
"13","-0.1934414 51.4911772",1,"-0.1934414","51.4911772"
"14","-0.303742 51.461311",1,"-0.303742","51.461311"
"15","-0.30458 51.5119441",1,"-0.30458","51.5119441"
"16","-0.3070078 51.5032186",1,"-0.3070078","51.5032186"
"17","-0.3717471 51.8762646",1,"-0.3717471","51.8762646"
"18","-0.4338963 52.1479731",1,"-0.4338963","52.1479731"
"19","-0.4344106 53.8416168",1,"-0.4344106","53.8416168"
"20","-0.52039 51.885644",1,"-0.52039","51.885644"
"21","-0.5599501 51.3147593",1,"-0.5599501","51.3147593"
"22","-0.633389 45.744175",1,"-0.633389","45.744175"
"23","-0.6962853 37.9975875",1,"-0.6962853","37.9975875"
"24","-0.697894 51.360343",1,"-0.697894","51.360343"
"25","-0.8094705 51.8137073",1,"-0.8094705","51.8137073"
"26","-0.8897421 41.6488696",1,"-0.8897421","41.6488696"
"27","-1.023194 7.946527",1,"-1.023194","7.946527"
"28","-1.128462 53.52282",1,"-1.128462","53.52282"
"29","-1.1743197 52.3555177",7,"-1.1743197","52.3555177"
"30","-1.349736 50.609968",2,"-1.349736","50.609968"
"31","-1.368989 51.824982",1,"-1.368989","51.824982"
"32","-1.4675216 52.2671353",1,"-1.4675216","52.2671353"
"33","-1.61778 54.978252",1,"-1.61778","54.978252"
"34","-1.6441505 51.0949122",1,"-1.6441505","51.0949122"
"35","-1.759398 53.795984",1,"-1.759398","53.795984"
"36","-1.829833 52.4750743",3,"-1.829833","52.4750743"
"37","-1.890401 52.486243",1,"-1.890401","52.486243"
"38","-1.91483 53.259082",1,"-1.91483","53.259082"
"39","-100.3161126 25.6866142",2,"-100.3161126","25.6866142"
"40","-100.4995214 28.7091433",1,"-100.4995214","28.7091433"
"41","-100.9836611 25.43208",1,"-100.9836611","25.43208"
"42","-101.1947969 20.5549731",1,"-101.1947969","20.5549731"
"43","-101.5329438 39.7508287",1,"-101.5329438","39.7508287"
"44","-101.7101722 39.350833",1,"-101.7101722","39.350833"
"45","-101.8551665 33.5778631",1,"-101.8551665","33.5778631"
"46","-102.0779146 31.9973456",1,"-102.0779146","31.9973456"
"47","-102.1312209 19.4164672",1,"-102.1312209","19.4164672"
"48","-102.3676431 31.8456816",1,"-102.3676431","31.8456816"
"49","-102.4107493 34.2331373",6,"-102.4107493","34.2331373"
"50","-102.552784 23.634501",3,"-102.552784","23.634501"
"51","-103.6610115 30.3584919",1,"-103.6610115","30.3584919"
"52","-104.195846 32.400126",1,"-104.195846","32.400126"
"53","-104.6840751 19.1953979",1,"-104.6840751","19.1953979"
"54","-104.7091322 40.4233142",1,"-104.7091322","40.4233142"
"55","-104.7964647 39.7901952",1,"-104.7964647","39.7901952"
"56","-104.8560902 39.3722121",1,"-104.8560902","39.3722121"
"57","-104.8730088 39.8675693",1,"-104.8730088","39.8675693"
"58","-104.8771726 39.5807452",1,"-104.8771726","39.5807452"
"59","-104.990251 39.7392358",5,"-104.990251","39.7392358"
"60","-105.0166498 39.613321",1,"-105.0166498","39.613321"
"61","-105.0372046 39.8366528",1,"-105.0372046","39.8366528"
"62","-105.084423 40.5852602",2,"-105.084423","40.5852602"
"63","-105.2705456 40.0149856",1,"-105.2705456","40.0149856"
"64","-105.5141639 39.8019322",2,"-105.5141639","39.8019322"
"65","-105.7820674 39.5500507",6,"-105.7820674","39.5500507"
"66","-105.8700901 34.5199402",2,"-105.8700901","34.5199402"
"67","-106.1020263 28.660437",1,"-106.1020263","28.660437"
"68","-106.3250584 32.0000773",1,"-106.3250584","32.0000773"
"69","-106.346771 56.130366",10,"-106.346771","56.130366"
"70","-106.4850217 31.7618778",1,"-106.4850217","31.7618778"
"71","-106.6630437 35.2327544",2,"-106.6630437","35.2327544"
"72","-106.6700458 52.1332144",2,"-106.6700458","52.1332144"
"73","-107.2902839 43.0759678",1,"-107.2902839","43.0759678"
"74","-107.8144772 37.6305177",1,"-107.8144772","37.6305177"
"75","-107.9763233 36.7374496",1,"-107.9763233","36.7374496"
"76","-108.5506486 39.0638705",1,"-108.5506486","39.0638705"
"77","-109.7124043 23.0798696",1,"-109.7124043","23.0798696"
"78","-110.3625658 46.8796822",2,"-110.3625658","46.8796822"
"79","-110.926479 32.2217429",2,"-110.926479","32.2217429"
"80","-110.934377 32.250057",1,"-110.934377","32.250057"
"81","-110.9559192 29.0729673",2,"-110.9559192","29.0729673"
"82","-111.0429339 45.6769979",1,"-111.0429339","45.6769979"
"83","-111.0937311 34.0489281",10,"-111.0937311","34.0489281"
"84","-111.0937311 39.3209801",5,"-111.0937311","39.3209801"
"85","-111.273225 47.503271",1,"-111.273225","47.503271"
"86","-111.2833449 47.4941836",1,"-111.2833449","47.4941836"
"87","-111.3240522 34.2330278",1,"-111.3240522","34.2330278"
"88","-111.3873431 33.0314508",1,"-111.3873431","33.0314508"
"89","-111.6342993 33.2486638",1,"-111.6342993","33.2486638"
"90","-111.6585337 40.2338438",2,"-111.6585337","40.2338438"
"91","-111.6945906 40.2326322",1,"-111.6945906","40.2326322"
"92","-111.6946475 40.2968979",1,"-111.6946475","40.2968979"
"93","-111.7924237 43.8231096",1,"-111.7924237","43.8231096"
"94","-111.8109439 33.3303713",1,"-111.8109439","33.3303713"
"95","-111.8314724 33.4151843",1,"-111.8314724","33.4151843"
"96","-111.8910474 40.7607793",1,"-111.8910474","40.7607793"
"97","-111.892748 40.912639",1,"-111.892748","40.912639"
"98","-111.9013032 40.759236",1,"-111.9013032","40.759236"
"99","-111.9066784 40.5779592",1,"-111.9066784","40.5779592"
"100","-111.9260519 33.4941704",4,"-111.9260519","33.4941704"
"101","-111.929658 40.5621704",1,"-111.929658","40.5621704"
"102","-111.9400054 33.4255104",4,"-111.9400054","33.4255104"
"103","-111.9474866 40.6756445",1,"-111.9474866","40.6756445"
"104","-111.9710529 41.0602216",1,"-111.9710529","41.0602216"
"105","-111.9738304 41.223",1,"-111.9738304","41.223"
"106","-111.9839965 33.3426673",1,"-111.9839965","33.3426673"
"107","-112.006882 40.3141169",1,"-112.006882","40.3141169"
"108","-112.0740373 33.4483771",6,"-112.0740373","33.4483771"
"109","-112.1251372 33.8543346",1,"-112.1251372","33.8543346"
"110","-112.1691424 36.0581214",1,"-112.1691424","36.0581214"
"111","-112.2373779 33.5805955",1,"-112.2373779","33.5805955"
"112","-112.315721 34.6100243",1,"-112.315721","34.6100243"
"113","-112.3679279 33.6292337",1,"-112.3679279","33.6292337"
"114","-113.4909267 53.544389",3,"-113.4909267","53.544389"
"115","-114.0530065 35.189443",1,"-114.0530065","35.189443"
"116","-114.0708459 51.0486151",1,"-114.0708459","51.0486151"
"117","-114.7420408 44.0682019",4,"-114.7420408","44.0682019"
"118","-115.1398296 36.1699412",7,"-115.1398296","36.1699412"
"119","-115.4733551 35.0109911",1,"-115.4733551","35.0109911"
"120","-116.173894 33.6803003",1,"-116.173894","33.6803003"
"121","-116.2146068 43.6187102",1,"-116.2146068","43.6187102"
"122","-116.419389 34.9592083",5,"-116.419389","34.9592083"
